2025-11-05 09:32:22.749 [http-nio-0.0.0.0-8081-exec-9] INFO  c.e.amorproduct.interceptor.LoggingInterceptor - ========== 请求开始 ==========
2025-11-05 09:32:22.752 [http-nio-0.0.0.0-8081-exec-9] INFO  c.e.amorproduct.interceptor.LoggingInterceptor - 请求路径: GET /api/products/P10001
2025-11-05 09:32:22.752 [http-nio-0.0.0.0-8081-exec-9] INFO  c.e.amorproduct.interceptor.LoggingInterceptor - 客户端IP: 192.168.100.76
2025-11-05 09:32:22.764 [http-nio-0.0.0.0-8081-exec-9] INFO  c.e.amorproduct.interceptor.LoggingInterceptor - 响应状态: 200
2025-11-05 09:32:22.764 [http-nio-0.0.0.0-8081-exec-9] INFO  c.e.amorproduct.interceptor.LoggingInterceptor - 执行时间: 15 ms
2025-11-05 09:32:22.764 [http-nio-0.0.0.0-8081-exec-9] INFO  c.e.amorproduct.interceptor.LoggingInterceptor - ========== 请求结束 ==========

2025-11-05 09:41:56.286 [http-nio-0.0.0.0-8081-exec-1] INFO  c.e.amorproduct.interceptor.LoggingInterceptor - ========== 请求开始 ==========
2025-11-05 09:41:56.286 [http-nio-0.0.0.0-8081-exec-1] INFO  c.e.amorproduct.interceptor.LoggingInterceptor - 请求路径: GET /api/blind-boxes
2025-11-05 09:41:56.288 [http-nio-0.0.0.0-8081-exec-1] INFO  c.e.amorproduct.interceptor.LoggingInterceptor - 客户端IP: 192.168.100.76
2025-11-05 09:41:56.311 [http-nio-0.0.0.0-8081-exec-3] INFO  c.e.amorproduct.interceptor.LoggingInterceptor - ========== 请求开始 ==========
2025-11-05 09:41:56.311 [http-nio-0.0.0.0-8081-exec-3] INFO  c.e.amorproduct.interceptor.LoggingInterceptor - 请求路径: POST /api/products/list
2025-11-05 09:41:56.312 [http-nio-0.0.0.0-8081-exec-3] INFO  c.e.amorproduct.interceptor.LoggingInterceptor - 客户端IP: 192.168.100.76
2025-11-05 09:42:02.327 [http-nio-0.0.0.0-8081-exec-1] INFO  c.e.amorproduct.interceptor.LoggingInterceptor - 响应状态: 200
2025-11-05 09:42:02.327 [http-nio-0.0.0.0-8081-exec-1] INFO  c.e.amorproduct.interceptor.LoggingInterceptor - 执行时间: 6041 ms
2025-11-05 09:42:02.327 [http-nio-0.0.0.0-8081-exec-1] INFO  c.e.amorproduct.interceptor.LoggingInterceptor - ========== 请求结束 ==========

2025-11-05 09:42:03.301 [http-nio-0.0.0.0-8081-exec-3] INFO  c.e.amorproduct.interceptor.LoggingInterceptor - 响应状态: 200
2025-11-05 09:42:03.301 [http-nio-0.0.0.0-8081-exec-3] INFO  c.e.amorproduct.interceptor.LoggingInterceptor - 执行时间: 6990 ms
2025-11-05 09:42:03.301 [http-nio-0.0.0.0-8081-exec-3] INFO  c.e.amorproduct.interceptor.LoggingInterceptor - ========== 请求结束 ==========

2025-11-05 09:42:09.285 [http-nio-0.0.0.0-8081-exec-7] INFO  c.e.amorproduct.interceptor.LoggingInterceptor - ========== 请求开始 ==========
2025-11-05 09:42:09.285 [http-nio-0.0.0.0-8081-exec-7] INFO  c.e.amorproduct.interceptor.LoggingInterceptor - 请求路径: GET /api/blind-boxes
2025-11-05 09:42:09.286 [http-nio-0.0.0.0-8081-exec-5] INFO  c.e.amorproduct.interceptor.LoggingInterceptor - ========== 请求开始 ==========
2025-11-05 09:42:09.286 [http-nio-0.0.0.0-8081-exec-7] INFO  c.e.amorproduct.interceptor.LoggingInterceptor - 客户端IP: 192.168.100.76
2025-11-05 09:42:09.286 [http-nio-0.0.0.0-8081-exec-5] INFO  c.e.amorproduct.interceptor.LoggingInterceptor - 请求路径: POST /api/products/list
2025-11-05 09:42:09.287 [http-nio-0.0.0.0-8081-exec-5] INFO  c.e.amorproduct.interceptor.LoggingInterceptor - 客户端IP: 192.168.100.76
2025-11-05 09:42:10.291 [http-nio-0.0.0.0-8081-exec-7] INFO  c.e.amorproduct.interceptor.LoggingInterceptor - 响应状态: 200
2025-11-05 09:42:10.291 [http-nio-0.0.0.0-8081-exec-7] INFO  c.e.amorproduct.interceptor.LoggingInterceptor - 执行时间: 1006 ms
2025-11-05 09:42:10.291 [http-nio-0.0.0.0-8081-exec-7] INFO  c.e.amorproduct.interceptor.LoggingInterceptor - ========== 请求结束 ==========

2025-11-05 09:42:11.296 [http-nio-0.0.0.0-8081-exec-5] INFO  c.e.amorproduct.interceptor.LoggingInterceptor - 响应状态: 200
2025-11-05 09:42:11.296 [http-nio-0.0.0.0-8081-exec-5] INFO  c.e.amorproduct.interceptor.LoggingInterceptor - 执行时间: 2010 ms
2025-11-05 09:42:11.296 [http-nio-0.0.0.0-8081-exec-5] INFO  c.e.amorproduct.interceptor.LoggingInterceptor - ========== 请求结束 ==========

2025-11-05 09:42:53.482 [http-nio-0.0.0.0-8081-exec-2] INFO  c.e.amorproduct.interceptor.LoggingInterceptor - ========== 请求开始 ==========
2025-11-05 09:42:53.483 [http-nio-0.0.0.0-8081-exec-2] INFO  c.e.amorproduct.interceptor.LoggingInterceptor - 请求路径: POST /api/products/list
2025-11-05 09:42:53.483 [http-nio-0.0.0.0-8081-exec-2] INFO  c.e.amorproduct.interceptor.LoggingInterceptor - 客户端IP: 192.168.100.76
